YEAR,MONTH,GEO,VALUE
1981,2,Canada,38.7
1981,2,Canada,36.5
1981,2,Canada,41
1981,2,"St. John's, Newfoundland and Labrador",36.2
1981,2,"St. John's, Newfoundland and Labrador",37.5
1981,2,"St. John's, Newfoundland and Labrador",31.8
1981,2,"Halifax, Nova Scotia",32.5
1981,2,"Saint John, Fredericton, and Moncton, New Brunswick",56.2
1981,2,"Saint John, Fredericton, and Moncton, New Brunswick",62.1
1981,2,"Saint John, Fredericton, and Moncton, New Brunswick",38
1981,2,"Québec, Quebec",30.6
1981,2,"Québec, Quebec",35.4
1981,2,"Québec, Quebec",20.3
1981,2,"Montréal, Quebec",28.8
1981,2,"Montréal, Quebec",30.2
1981,2,"Montréal, Quebec",20.7
1981,2,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",32.6
1981,2,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",30.8
1981,2,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",39.9
1981,2,"Toronto, Ontario",28.5
1981,2,"Toronto, Ontario",23.2
1981,2,"Toronto, Ontario",39.3
1981,2,"Hamilton, Ontario",30.4
1981,2,"Hamilton, Ontario",24.9
1981,2,"Hamilton, Ontario",46
1981,2,"St. Catharines-Niagara, Ontario",30.8
1981,2,"St. Catharines-Niagara, Ontario",28.6
1981,2,"St. Catharines-Niagara, Ontario",35.6
1981,2,"Kitchener-Cambridge-Waterloo, Ontario",34.1
1981,2,"Kitchener-Cambridge-Waterloo, Ontario",30.5
1981,2,"Kitchener-Cambridge-Waterloo, Ontario",43.5
1981,2,"London, Ontario",32.3
1981,2,"London, Ontario",27.5
1981,2,"London, Ontario",51.4
1981,2,"Windsor, Ontario",61.2
1981,2,"Windsor, Ontario",64.9
1981,2,"Windsor, Ontario",47.5
1981,2,"Greater Sudbury, Ontario",55.4
1981,2,"Greater Sudbury, Ontario",55.6
1981,2,"Greater Sudbury, Ontario",52.1
1981,2,"Winnipeg, Manitoba",26.9
1981,2,"Winnipeg, Manitoba",29.7
1981,2,"Winnipeg, Manitoba",18.7
1981,2,"Regina, Saskatchewan",20.2
1981,2,"Regina, Saskatchewan",21.2
1981,2,"Regina, Saskatchewan",17.1
1981,2,"Saskatoon, Saskatchewan",33
1981,2,"Saskatoon, Saskatchewan",35.8
1981,2,"Saskatoon, Saskatchewan",26
1981,2,"Calgary, Alberta",25.5
1981,2,"Calgary, Alberta",28.1
1981,2,"Calgary, Alberta",19.6
1981,2,"Edmonton, Alberta",36.1
1981,2,"Edmonton, Alberta",36.8
1981,2,"Edmonton, Alberta",32.9
1981,2,"Vancouver, British Columbia",92.2
1981,2,"Vancouver, British Columbia",97.5
1981,2,"Vancouver, British Columbia",85.3
1981,2,"Victoria, British Columbia",130.1
1981,2,"Victoria, British Columbia",209.1
1981,2,"Victoria, British Columbia",50.9
1981,3,Canada,39.3
1981,3,Canada,37.3
1981,3,Canada,41.1
1981,3,"St. John's, Newfoundland and Labrador",36.2
1981,3,"St. John's, Newfoundland and Labrador",37.5
1981,3,"St. John's, Newfoundland and Labrador",31.8
1981,3,"Halifax, Nova Scotia",32.5
1981,3,"Saint John, Fredericton, and Moncton, New Brunswick",56.2
1981,3,"Saint John, Fredericton, and Moncton, New Brunswick",62.1
1981,3,"Saint John, Fredericton, and Moncton, New Brunswick",38
1981,3,"Québec, Quebec",30.6
1981,3,"Québec, Quebec",35.4
1981,3,"Québec, Quebec",20.6
1981,3,"Montréal, Quebec",29
1981,3,"Montréal, Quebec",30.5
1981,3,"Montréal, Quebec",21
1981,3,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",33.6
1981,3,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",31.9
1981,3,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",40.6
1981,3,"Toronto, Ontario",29.8
1981,3,"Toronto, Ontario",24.8
1981,3,"Toronto, Ontario",39.5
1981,3,"Hamilton, Ontario",30.7
1981,3,"Hamilton, Ontario",25.3
1981,3,"Hamilton, Ontario",46
1981,3,"St. Catharines-Niagara, Ontario",30.8
1981,3,"St. Catharines-Niagara, Ontario",28.6
1981,3,"St. Catharines-Niagara, Ontario",35.6
1981,3,"Kitchener-Cambridge-Waterloo, Ontario",34.2
1981,3,"Kitchener-Cambridge-Waterloo, Ontario",30.7
1981,3,"Kitchener-Cambridge-Waterloo, Ontario",43.5
1981,3,"London, Ontario",32.8
1981,3,"London, Ontario",28.2
1981,3,"London, Ontario",51.4
1981,3,"Windsor, Ontario",60.7
1981,3,"Windsor, Ontario",64.1
1981,3,"Windsor, Ontario",47.5
1981,3,"Greater Sudbury, Ontario",55.4
1981,3,"Greater Sudbury, Ontario",55.6
1981,3,"Greater Sudbury, Ontario",52.1
1981,3,"Winnipeg, Manitoba",27.3
1981,3,"Winnipeg, Manitoba",30.3
1981,3,"Winnipeg, Manitoba",18.7
1981,3,"Regina, Saskatchewan",20.6
1981,3,"Regina, Saskatchewan",21.5
1981,3,"Regina, Saskatchewan",17.5
1981,3,"Saskatoon, Saskatchewan",33.4
1981,3,"Saskatoon, Saskatchewan",36.4
1981,3,"Saskatoon, Saskatchewan",26
1981,3,"Calgary, Alberta",25.8
1981,3,"Calgary, Alberta",28.6
1981,3,"Calgary, Alberta",19.6
1981,3,"Edmonton, Alberta",36.1
1981,3,"Edmonton, Alberta",36.8
1981,3,"Edmonton, Alberta",32.9
1981,3,"Vancouver, British Columbia",92.2
1981,3,"Vancouver, British Columbia",97.5
1981,3,"Vancouver, British Columbia",85.3
1981,3,"Victoria, British Columbia",130.8
1981,3,"Victoria, British Columbia",210.6
1981,3,"Victoria, British Columbia",50.9
1981,4,Canada,39.9
1981,4,Canada,38.1
1981,4,Canada,41.2
1981,4,"St. John's, Newfoundland and Labrador",36.2
1981,4,"St. John's, Newfoundland and Labrador",37.5
1981,4,"St. John's, Newfoundland and Labrador",31.8
1981,4,"Halifax, Nova Scotia",32.5
1981,4,"Saint John, Fredericton, and Moncton, New Brunswick",56.2
1981,4,"Saint John, Fredericton, and Moncton, New Brunswick",62.1
1981,4,"Saint John, Fredericton, and Moncton, New Brunswick",38
1981,4,"Québec, Quebec",31
1981,4,"Québec, Quebec",35.7
1981,4,"Québec, Quebec",20.9
1981,4,"Montréal, Quebec",29.3
1981,4,"Montréal, Quebec",30.8
1981,4,"Montréal, Quebec",21
1981,4,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",33.7
1981,4,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",32
1981,4,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",40.6
1981,4,"Toronto, Ontario",31.2
1981,4,"Toronto, Ontario",26.5
1981,4,"Toronto, Ontario",40
1981,4,"Hamilton, Ontario",31
1981,4,"Hamilton, Ontario",25.6
1981,4,"Hamilton, Ontario",46.3
1981,4,"St. Catharines-Niagara, Ontario",30.8
1981,4,"St. Catharines-Niagara, Ontario",28.6
1981,4,"St. Catharines-Niagara, Ontario",35.6
1981,4,"Kitchener-Cambridge-Waterloo, Ontario",34.6
1981,4,"Kitchener-Cambridge-Waterloo, Ontario",31.1
1981,4,"Kitchener-Cambridge-Waterloo, Ontario",43.5
1981,4,"London, Ontario",33.3
1981,4,"London, Ontario",28.6
1981,4,"London, Ontario",51.6
1981,4,"Windsor, Ontario",60.6
1981,4,"Windsor, Ontario",63.9
1981,4,"Windsor, Ontario",47.5
1981,4,"Greater Sudbury, Ontario",56.9
1981,4,"Greater Sudbury, Ontario",57
1981,4,"Greater Sudbury, Ontario",53.7
1981,4,"Winnipeg, Manitoba",27.4
1981,4,"Winnipeg, Manitoba",30.5
1981,4,"Winnipeg, Manitoba",18.9
1981,4,"Regina, Saskatchewan",21.3
1981,4,"Regina, Saskatchewan",22.4
1981,4,"Regina, Saskatchewan",17.8
1981,4,"Saskatoon, Saskatchewan",34.6
1981,4,"Saskatoon, Saskatchewan",37.3
1981,4,"Saskatoon, Saskatchewan",27.6
1981,4,"Calgary, Alberta",26.7
1981,4,"Calgary, Alberta",30.1
1981,4,"Calgary, Alberta",19.8
1981,4,"Edmonton, Alberta",36.1
1981,4,"Edmonton, Alberta",36.9
1981,4,"Edmonton, Alberta",32.9
1981,4,"Vancouver, British Columbia",91.8
1981,4,"Vancouver, British Columbia",97.7
1981,4,"Vancouver, British Columbia",84.2
1981,4,"Victoria, British Columbia",130.8
1981,4,"Victoria, British Columbia",210.6
1981,4,"Victoria, British Columbia",50.9
1981,5,Canada,40.6
1981,5,Canada,38.9
1981,5,Canada,41.5
1981,5,"St. John's, Newfoundland and Labrador",36.4
1981,5,"St. John's, Newfoundland and Labrador",37.7
1981,5,"St. John's, Newfoundland and Labrador",31.9
1981,5,"Halifax, Nova Scotia",32.5
1981,5,"Saint John, Fredericton, and Moncton, New Brunswick",57.2
1981,5,"Saint John, Fredericton, and Moncton, New Brunswick",63.3
1981,5,"Saint John, Fredericton, and Moncton, New Brunswick",38
1981,5,"Québec, Quebec",31.4
1981,5,"Québec, Quebec",36.1
1981,5,"Québec, Quebec",21.2
1981,5,"Montréal, Quebec",29.7
1981,5,"Montréal, Quebec",31.1
1981,5,"Montréal, Quebec",21.3
1981,5,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",34.3
1981,5,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",32.7
1981,5,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",40.8
1981,5,"Toronto, Ontario",32.3
1981,5,"Toronto, Ontario",27.7
1981,5,"Toronto, Ontario",40.1
1981,5,"Hamilton, Ontario",32.6
1981,5,"Hamilton, Ontario",26.4
1981,5,"Hamilton, Ontario",50.2
1981,5,"St. Catharines-Niagara, Ontario",31
1981,5,"St. Catharines-Niagara, Ontario",28.9
1981,5,"St. Catharines-Niagara, Ontario",35.6
1981,5,"Kitchener-Cambridge-Waterloo, Ontario",34.6
1981,5,"Kitchener-Cambridge-Waterloo, Ontario",31.1
1981,5,"Kitchener-Cambridge-Waterloo, Ontario",43.5
1981,5,"London, Ontario",33.3
1981,5,"London, Ontario",28.6
1981,5,"London, Ontario",51.6
1981,5,"Windsor, Ontario",60.6
1981,5,"Windsor, Ontario",63.9
1981,5,"Windsor, Ontario",47.5
1981,5,"Greater Sudbury, Ontario",56.9
1981,5,"Greater Sudbury, Ontario",57
1981,5,"Greater Sudbury, Ontario",53.7
1981,5,"Winnipeg, Manitoba",27.9
1981,5,"Winnipeg, Manitoba",31.1
1981,5,"Winnipeg, Manitoba",18.9
1981,5,"Regina, Saskatchewan",21.9
1981,5,"Regina, Saskatchewan",23.1
1981,5,"Regina, Saskatchewan",17.8
1981,5,"Saskatoon, Saskatchewan",34.8
1981,5,"Saskatoon, Saskatchewan",37.7
1981,5,"Saskatoon, Saskatchewan",27.6
1981,5,"Calgary, Alberta",26.7
1981,5,"Calgary, Alberta",30.1
1981,5,"Calgary, Alberta",19.8
1981,5,"Edmonton, Alberta",37.3
1981,5,"Edmonton, Alberta",38.2
1981,5,"Edmonton, Alberta",33.6
1981,5,"Vancouver, British Columbia",91.8
1981,5,"Vancouver, British Columbia",97.7
1981,5,"Vancouver, British Columbia",84.2
1981,5,"Victoria, British Columbia",132.5
1981,5,"Victoria, British Columbia",212.4
1981,5,"Victoria, British Columbia",52.1
1981,6,Canada,40.8
1981,6,Canada,39.1
1981,6,Canada,41.6
1981,6,"St. John's, Newfoundland and Labrador",36.4
1981,6,"St. John's, Newfoundland and Labrador",37.7
1981,6,"St. John's, Newfoundland and Labrador",31.9
1981,6,"Halifax, Nova Scotia",32.5
1981,6,"Saint John, Fredericton, and Moncton, New Brunswick",57.2
1981,6,"Saint John, Fredericton, and Moncton, New Brunswick",63.3
1981,6,"Saint John, Fredericton, and Moncton, New Brunswick",38
1981,6,"Québec, Quebec",31.4
1981,6,"Québec, Quebec",36.1
1981,6,"Québec, Quebec",21.2
1981,6,"Montréal, Quebec",30
1981,6,"Montréal, Quebec",31.5
1981,6,"Montréal, Quebec",21.7
1981,6,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",34.8
1981,6,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",33.5
1981,6,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",40.8
1981,6,"Toronto, Ontario",32.3
1981,6,"Toronto, Ontario",27.7
1981,6,"Toronto, Ontario",40.1
1981,6,"Hamilton, Ontario",32.7
1981,6,"Hamilton, Ontario",26.6
1981,6,"Hamilton, Ontario",50.2
1981,6,"St. Catharines-Niagara, Ontario",31.2
1981,6,"St. Catharines-Niagara, Ontario",29.2
1981,6,"St. Catharines-Niagara, Ontario",35.6
1981,6,"Kitchener-Cambridge-Waterloo, Ontario",34.9
1981,6,"Kitchener-Cambridge-Waterloo, Ontario",31.4
1981,6,"Kitchener-Cambridge-Waterloo, Ontario",43.7
1981,6,"London, Ontario",33.6
1981,6,"London, Ontario",29.1
1981,6,"London, Ontario",51.6
1981,6,"Windsor, Ontario",60.6
1981,6,"Windsor, Ontario",63.9
1981,6,"Windsor, Ontario",47.5
1981,6,"Greater Sudbury, Ontario",57.1
1981,6,"Greater Sudbury, Ontario",57.2
1981,6,"Greater Sudbury, Ontario",53.7
1981,6,"Winnipeg, Manitoba",28.4
1981,6,"Winnipeg, Manitoba",31.8
1981,6,"Winnipeg, Manitoba",19
1981,6,"Regina, Saskatchewan",21.9
1981,6,"Regina, Saskatchewan",23.1
1981,6,"Regina, Saskatchewan",17.8
1981,6,"Saskatoon, Saskatchewan",35
1981,6,"Saskatoon, Saskatchewan",38
1981,6,"Saskatoon, Saskatchewan",27.6
1981,6,"Calgary, Alberta",27.1
1981,6,"Calgary, Alberta",30.6
1981,6,"Calgary, Alberta",20
1981,6,"Edmonton, Alberta",37.4
1981,6,"Edmonton, Alberta",38.4
1981,6,"Edmonton, Alberta",33.6
1981,6,"Vancouver, British Columbia",91.9
1981,6,"Vancouver, British Columbia",98.2
1981,6,"Vancouver, British Columbia",84.2
1981,6,"Victoria, British Columbia",132.8
1981,6,"Victoria, British Columbia",210.6
1981,6,"Victoria, British Columbia",52.9
1981,7,Canada,40.8
1981,7,Canada,39.2
1981,7,Canada,41.6
1981,7,"St. John's, Newfoundland and Labrador",36.4
1981,7,"St. John's, Newfoundland and Labrador",37.7
1981,7,"St. John's, Newfoundland and Labrador",31.9
1981,7,"Halifax, Nova Scotia",32.5
1981,7,"Saint John, Fredericton, and Moncton, New Brunswick",57.4
1981,7,"Saint John, Fredericton, and Moncton, New Brunswick",63.6
1981,7,"Saint John, Fredericton, and Moncton, New Brunswick",38
1981,7,"Québec, Quebec",31.4
1981,7,"Québec, Quebec",36.2
1981,7,"Québec, Quebec",21.2
1981,7,"Montréal, Quebec",30.2
1981,7,"Montréal, Quebec",31.7
1981,7,"Montréal, Quebec",21.7
1981,7,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",34.9
1981,7,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",33.5
1981,7,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",40.8
1981,7,"Toronto, Ontario",32.2
1981,7,"Toronto, Ontario",27.7
1981,7,"Toronto, Ontario",40.1
1981,7,"Hamilton, Ontario",32.7
1981,7,"Hamilton, Ontario",26.6
1981,7,"Hamilton, Ontario",50.2
1981,7,"St. Catharines-Niagara, Ontario",31.2
1981,7,"St. Catharines-Niagara, Ontario",29.2
1981,7,"St. Catharines-Niagara, Ontario",35.6
1981,7,"Kitchener-Cambridge-Waterloo, Ontario",34.9
1981,7,"Kitchener-Cambridge-Waterloo, Ontario",31.4
1981,7,"Kitchener-Cambridge-Waterloo, Ontario",43.7
1981,7,"London, Ontario",34.1
1981,7,"London, Ontario",29.7
1981,7,"London, Ontario",51.6
1981,7,"Windsor, Ontario",60.6
1981,7,"Windsor, Ontario",63.9
1981,7,"Windsor, Ontario",47.5
1981,7,"Greater Sudbury, Ontario",57.1
1981,7,"Greater Sudbury, Ontario",57.2
1981,7,"Greater Sudbury, Ontario",53.7
1981,7,"Winnipeg, Manitoba",28.5
1981,7,"Winnipeg, Manitoba",32
1981,7,"Winnipeg, Manitoba",19
1981,7,"Regina, Saskatchewan",21.9
1981,7,"Regina, Saskatchewan",23.1
1981,7,"Regina, Saskatchewan",17.8
1981,7,"Saskatoon, Saskatchewan",35.9
1981,7,"Saskatoon, Saskatchewan",39.2
1981,7,"Saskatoon, Saskatchewan",27.8
1981,7,"Calgary, Alberta",27.1
1981,7,"Calgary, Alberta",30.6
1981,7,"Calgary, Alberta",20
1981,7,"Edmonton, Alberta",37.4
1981,7,"Edmonton, Alberta",38.4
1981,7,"Edmonton, Alberta",33.6
1981,7,"Vancouver, British Columbia",91.8
1981,7,"Vancouver, British Columbia",97.7
1981,7,"Vancouver, British Columbia",84.2
1981,7,"Victoria, British Columbia",130.8
1981,7,"Victoria, British Columbia",206.2
1981,7,"Victoria, British Columbia",52.5
1981,8,Canada,40.6
1981,8,Canada,39
1981,8,Canada,41.5
1981,8,"St. John's, Newfoundland and Labrador",36.4
1981,8,"St. John's, Newfoundland and Labrador",37.8
1981,8,"St. John's, Newfoundland and Labrador",31.9
1981,8,"Halifax, Nova Scotia",32.5
1981,8,"Saint John, Fredericton, and Moncton, New Brunswick",58.3
1981,8,"Saint John, Fredericton, and Moncton, New Brunswick",64.6
1981,8,"Saint John, Fredericton, and Moncton, New Brunswick",39
1981,8,"Québec, Quebec",31.6
1981,8,"Québec, Quebec",36.6
1981,8,"Québec, Quebec",21.3
1981,8,"Montréal, Quebec",30.3
1981,8,"Montréal, Quebec",31.7
1981,8,"Montréal, Quebec",21.7
1981,8,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",35.2
1981,8,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",33.9
1981,8,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",40.8
1981,8,"Toronto, Ontario",32.5
1981,8,"Toronto, Ontario",28
1981,8,"Toronto, Ontario",40.1
1981,8,"Hamilton, Ontario",32.7
1981,8,"Hamilton, Ontario",26.7
1981,8,"Hamilton, Ontario",50.2
1981,8,"St. Catharines-Niagara, Ontario",31.2
1981,8,"St. Catharines-Niagara, Ontario",29.2
1981,8,"St. Catharines-Niagara, Ontario",35.6
1981,8,"Kitchener-Cambridge-Waterloo, Ontario",34.9
1981,8,"Kitchener-Cambridge-Waterloo, Ontario",31.4
1981,8,"Kitchener-Cambridge-Waterloo, Ontario",43.7
1981,8,"London, Ontario",34.1
1981,8,"London, Ontario",29.7
1981,8,"London, Ontario",51.6
1981,8,"Windsor, Ontario",60.6
1981,8,"Windsor, Ontario",63.9
1981,8,"Windsor, Ontario",47.5
1981,8,"Greater Sudbury, Ontario",57.2
1981,8,"Greater Sudbury, Ontario",57.5
1981,8,"Greater Sudbury, Ontario",53.7
1981,8,"Winnipeg, Manitoba",29
1981,8,"Winnipeg, Manitoba",32.9
1981,8,"Winnipeg, Manitoba",19
1981,8,"Regina, Saskatchewan",22.2
1981,8,"Regina, Saskatchewan",23.3
1981,8,"Regina, Saskatchewan",18.6
1981,8,"Saskatoon, Saskatchewan",35.9
1981,8,"Saskatoon, Saskatchewan",39.2
1981,8,"Saskatoon, Saskatchewan",27.8
1981,8,"Calgary, Alberta",27.1
1981,8,"Calgary, Alberta",30.7
1981,8,"Calgary, Alberta",20
1981,8,"Edmonton, Alberta",37.7
1981,8,"Edmonton, Alberta",38.8
1981,8,"Edmonton, Alberta",33.6
1981,8,"Vancouver, British Columbia",87.3
1981,8,"Vancouver, British Columbia",89.8
1981,8,"Vancouver, British Columbia",83.3
1981,8,"Victoria, British Columbia",130.8
1981,8,"Victoria, British Columbia",206.2
1981,8,"Victoria, British Columbia",52.5
1981,9,Canada,40.4
1981,9,Canada,39
1981,9,Canada,40.9
1981,9,"St. John's, Newfoundland and Labrador",36.4
1981,9,"St. John's, Newfoundland and Labrador",37.8
1981,9,"St. John's, Newfoundland and Labrador",31.9
1981,9,"Halifax, Nova Scotia",32.5
1981,9,"Saint John, Fredericton, and Moncton, New Brunswick",58.3
1981,9,"Saint John, Fredericton, and Moncton, New Brunswick",64.6
1981,9,"Saint John, Fredericton, and Moncton, New Brunswick",39
1981,9,"Québec, Quebec",31.8
1981,9,"Québec, Quebec",36.6
1981,9,"Québec, Quebec",21.4
1981,9,"Montréal, Quebec",30.7
1981,9,"Montréal, Quebec",32.1
1981,9,"Montréal, Quebec",22.6
1981,9,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",35.2
1981,9,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",33.9
1981,9,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",40.8
1981,9,"Toronto, Ontario",32.6
1981,9,"Toronto, Ontario",28.1
1981,9,"Toronto, Ontario",40.1
1981,9,"Hamilton, Ontario",32.7
1981,9,"Hamilton, Ontario",26.7
1981,9,"Hamilton, Ontario",50.2
1981,9,"St. Catharines-Niagara, Ontario",31.2
1981,9,"St. Catharines-Niagara, Ontario",29.2
1981,9,"St. Catharines-Niagara, Ontario",35.6
1981,9,"Kitchener-Cambridge-Waterloo, Ontario",35
1981,9,"Kitchener-Cambridge-Waterloo, Ontario",31.6
1981,9,"Kitchener-Cambridge-Waterloo, Ontario",44
1981,9,"London, Ontario",34.2
1981,9,"London, Ontario",29.7
1981,9,"London, Ontario",52
1981,9,"Windsor, Ontario",58.3
1981,9,"Windsor, Ontario",60.8
1981,9,"Windsor, Ontario",47.5
1981,9,"Greater Sudbury, Ontario",57.2
1981,9,"Greater Sudbury, Ontario",57.5
1981,9,"Greater Sudbury, Ontario",53.7
1981,9,"Winnipeg, Manitoba",29
1981,9,"Winnipeg, Manitoba",32.9
1981,9,"Winnipeg, Manitoba",19
1981,9,"Regina, Saskatchewan",22.2
1981,9,"Regina, Saskatchewan",23.3
1981,9,"Regina, Saskatchewan",18.6
1981,9,"Saskatoon, Saskatchewan",35.9
1981,9,"Saskatoon, Saskatchewan",39.2
1981,9,"Saskatoon, Saskatchewan",27.8
1981,9,"Calgary, Alberta",27.2
1981,9,"Calgary, Alberta",30.7
1981,9,"Calgary, Alberta",20.1
1981,9,"Edmonton, Alberta",37.7
1981,9,"Edmonton, Alberta",38.8
1981,9,"Edmonton, Alberta",33.6
1981,9,"Vancouver, British Columbia",84.4
1981,9,"Vancouver, British Columbia",89.3
1981,9,"Vancouver, British Columbia",78
1981,9,"Victoria, British Columbia",125.2
1981,9,"Victoria, British Columbia",200.8
1981,9,"Victoria, British Columbia",49
1981,10,Canada,40.3
1981,10,Canada,38.8
1981,10,Canada,40.9
1981,10,"St. John's, Newfoundland and Labrador",36.4
1981,10,"St. John's, Newfoundland and Labrador",37.8
1981,10,"St. John's, Newfoundland and Labrador",31.9
1981,10,"Halifax, Nova Scotia",32.5
1981,10,"Saint John, Fredericton, and Moncton, New Brunswick",57.2
1981,10,"Saint John, Fredericton, and Moncton, New Brunswick",62.7
1981,10,"Saint John, Fredericton, and Moncton, New Brunswick",39
1981,10,"Québec, Quebec",31.8
1981,10,"Québec, Quebec",36.6
1981,10,"Québec, Quebec",21.5
1981,10,"Montréal, Quebec",31
1981,10,"Montréal, Quebec",32.4
1981,10,"Montréal, Quebec",22.6
1981,10,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",35.2
1981,10,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",33.9
1981,10,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",40.8
1981,10,"Toronto, Ontario",32.5
1981,10,"Toronto, Ontario",28.1
1981,10,"Toronto, Ontario",40.1
1981,10,"Hamilton, Ontario",32.7
1981,10,"Hamilton, Ontario",26.7
1981,10,"Hamilton, Ontario",50.2
1981,10,"St. Catharines-Niagara, Ontario",31.2
1981,10,"St. Catharines-Niagara, Ontario",29.2
1981,10,"St. Catharines-Niagara, Ontario",35.6
1981,10,"Kitchener-Cambridge-Waterloo, Ontario",35.2
1981,10,"Kitchener-Cambridge-Waterloo, Ontario",31.7
1981,10,"Kitchener-Cambridge-Waterloo, Ontario",44
1981,10,"London, Ontario",34.2
1981,10,"London, Ontario",29.7
1981,10,"London, Ontario",52
1981,10,"Windsor, Ontario",58.3
1981,10,"Windsor, Ontario",60.8
1981,10,"Windsor, Ontario",47.5
1981,10,"Greater Sudbury, Ontario",57.2
1981,10,"Greater Sudbury, Ontario",57.5
1981,10,"Greater Sudbury, Ontario",53.7
1981,10,"Winnipeg, Manitoba",29
1981,10,"Winnipeg, Manitoba",32.9
1981,10,"Winnipeg, Manitoba",19
1981,10,"Regina, Saskatchewan",22.2
1981,10,"Regina, Saskatchewan",23.3
1981,10,"Regina, Saskatchewan",18.6
1981,10,"Saskatoon, Saskatchewan",35.9
1981,10,"Saskatoon, Saskatchewan",39.3
1981,10,"Saskatoon, Saskatchewan",27.8
1981,10,"Calgary, Alberta",27.3
1981,10,"Calgary, Alberta",30.8
1981,10,"Calgary, Alberta",20.1
1981,10,"Edmonton, Alberta",37.7
